date,nav,fund_name,fund_code,category,short_name
2018-02-05,31.0719,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-06,30.544,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-07,30.7414,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-08,31.1372,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-09,30.9202,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-12,31.2896,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-14,31.2512,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-15,31.1344,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-16,30.7554,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-19,30.3992,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-20,30.3895,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-21,30.4284,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-22,30.2917,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-23,30.7168,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-26,31.0712,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-27,30.9919,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-02-28,30.9278,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-01,30.8161,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-05,30.5029,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-06,30.1925,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-07,29.856,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-08,30.0922,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-09,30.0783,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-12,30.3523,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-13,30.6131,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-14,30.6316,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-15,30.6944,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-16,30.2676,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-19,29.8962,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-20,29.9,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-21,30.0711,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-22,29.9096,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-23,29.6087,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-26,30.0923,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-27,30.3651,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-03-28,30.2022,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-04-02,30.6935,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-04-03,30.8704,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-04-04,30.529,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-04-05,31.045,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-04-06,31.1748,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
2018-04-09,31.2881,Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,119251,Debt,HDFC Short Term
